Direction,Date,Message
Sent,"2025-09-01 05:59:34","￼"
Sent,"2025-09-01 06:07:17","listen this is so fucking good. fb messenger was making it impossible for me to have a real convo with you and i puh-romise things will immediately seem much better now that we're on here. 

also it took every ounce of discipline and will-power i could call on to wait until the sun came up before i started blowing up your phone…so you’re very welcome. 

miss u loser "
Sent,"2025-09-01 06:12:57","And no matter how much I suck you'll always get full transparency honesty and accountability so now you have the lloc"
Received,"2025-09-01 07:19:43","I live by boner Ave"
Received,"2025-09-01 07:19:52","Does that surprise you?"
Received,"2025-09-01 07:20:20","You only get this for 1 hour though"
Sent,"2025-09-01 07:20:20","i’m in love "
Sent,"2025-09-01 07:20:29","oh also tom just called me"
Received,"2025-09-01 07:20:48","￼"
Sent,"2025-09-01 07:20:53","he’s lost in penn hills, he said he took 3 hits of acid but in my expert opinion it sounded like 6"
Sent,"2025-09-01 07:21:06","what a hunk"
Received,"2025-09-01 07:21:11",Lmfao
Sent,"2025-09-01 07:21:13","(hunk of garbage)"
Received,"2025-09-01 07:21:26","A hunk he says"
Received,"2025-09-01 07:21:32","I love you stupid "
Received,"2025-09-01 07:21:39","What do you want? 😂😂"
Sent,"2025-09-01 07:21:48","is he more of a beefcake, a hunk or a snack"
Received,"2025-09-01 07:21:54",Ew
Received,"2025-09-01 07:22:04",Ewwwwwww
Sent,"2025-09-01 07:22:15","i just want to die in your arms 😵"
Received,"2025-09-01 07:22:27",Nbd
Received,"2025-09-01 07:22:37","Let’s do it. You go first "
Received,"2025-09-01 07:22:41","Then me"
Sent,"2025-09-01 07:23:23","no this world needs your beauty"
Received,"2025-09-01 07:23:26","If I wasn’t MOVING today I’d say let’s go venture and find Tom lol"
Sent,"2025-09-01 07:23:34","WHAT did you tell me this already"
Sent,"2025-09-01 07:23:47","okay kristin i swear to god i was missing like 25% of your messages "
Received,"2025-09-01 07:23:48","Yes you’re retarded"
Received,"2025-09-01 07:23:58","I mean the comp."
Received,"2025-09-01 07:24:02",Ope
Sent,"2025-09-01 07:24:11","i mean you are so not wrong but, retarded AND missing crucial info."
Received,"2025-09-01 07:24:46","￼"
Sent,"2025-09-01 07:24:55","hey i ran a big analysis of our messages on chatGPT and all 5 of the conflicts it looked at it said you were the one who was right"
Received,"2025-09-01 07:25:25","￼"
Received,"2025-09-01 07:25:48","￼"
Sent,"2025-09-01 07:26:34","￼"
Sent,"2025-09-01 07:27:23","some of them were dumb like this one"
Sent,"2025-09-01 07:27:34","￼"
Received,"2025-09-01 07:28:48","￼"
Sent,"2025-09-01 07:28:52","(( and before you say it - yes i really am such a dullard that i need analysis from computers to understand people and stuff ))"
Sent,"2025-09-01 07:29:08","no of course not"
Sent,"2025-09-01 07:29:25","i get to hear your luscious voice"
Received,"2025-09-01 07:29:29","￼"
Received,"2025-09-01 07:31:11",Lol
Received,"2025-09-01 07:31:31","￼"
Sent,"2025-09-01 07:34:12","hellllll yeah dude i’m pioneering autism chic"
Sent,"2025-09-01 07:35:20","i had a few hours to plan what i was going to send for my first ever actual text message - do you want to see what i tried and decided to throw out"
Sent,"2025-09-01 07:43:48","￼"
Sent,"2025-09-01 07:46:50","2 things: 

a) please kill me why do i do this to myself
b) you’re the first person i’ve ever just let see what an embarrassing nonce i am right off the bat. it usually takes a year or so before i grant that access"
Received,"2025-09-01 08:00:58",
Received,"2025-09-01 08:06:22","￼"
Received,"2025-09-01 08:07:08","￼"
Received,"2025-09-01 08:07:19","￼"
Received,"2025-09-01 08:07:40","Loved a movie"
Received,"2025-09-01 08:07:52","Loved “2 things: 

a) please kill me why do i do this to …”"
Received,"2025-09-01 08:08:17","￼"
Received,"2025-09-01 08:12:13","￼"
Sent,"2025-09-01 08:22:12","￼"
Sent,"2025-09-01 08:23:07","￼"
Received,"2025-09-01 08:23:49",Lmao
Received,"2025-09-01 08:23:58","￼"
Received,"2025-09-01 08:24:03","Under delivered"
Received,"2025-09-01 08:24:20","Am I still locating "
Received,"2025-09-01 08:24:45","Nvm it’s fine "
Received,"2025-09-01 08:26:23","￼"
Received,"2025-09-01 08:27:03","￼"
Sent,"2025-09-01 08:29:41","I just turned mine on like indefinitely i didn’t mean for you to feel like you needed to d"
Sent,"2025-09-01 08:30:01","i figured if you have all my passwords you should totally have my location too"
Sent,"2025-09-01 08:30:11","also i was so fucking right i knew it"
Received,"2025-09-01 08:30:33","￼"
Received,"2025-09-01 08:31:00","￼"
Received,"2025-09-01 08:32:25","￼"
Received,"2025-09-01 08:33:33","￼"
Received,"2025-09-01 08:33:48","￼"
Sent,"2025-09-01 08:33:48","￼That's weird mines different my operating system is up-to-date too"
