Title,System,Expected Resale (CIB),Notes
Skate 2,Xbox 360,$50 - $70,High-demand cult classic; Case/Manual alone $24+
The Legend of Zelda: Twilight Princess,Wii,$35 - $45,Verified crisp manual; Case/Manual $15-22
Fallout: New Vegas,Xbox 360,$25 - $40,Value jumps to $40+ if slipcase is included
Left 4 Dead,Xbox 360,$35 - $40,High velocity; Case/Manual $18-24
JSRF: Jet Set Radio Future,Xbox,$45 - $85,Value depends on if Standalone or Combo pack
Super Paper Mario,Wii,$25 - $35,Original black label is preferred; Case/Manual $15-22
Halo 3,Xbox 360,$15 - $25,High liquidity; Case/Manual ~$10
The Orange Box,Xbox 360,$20 - $30,Consistently stable value for Valve collections
Blitz: The League II,Xbox 360,$40 - $60,High-stakes cult sports title; Case/Manual $20+
Super Smash Bros. Brawl,Wii,$35 - $45,Evergreen asset; Case/Manual $15-22
Bully: Scholarship Edition,Wii,$15 - $22,Map/Poster increases case value to $18+
Grand Theft Auto IV,Xbox 360,$12 - $18,Standard liquidity; Case/Manual $5-10
Grand Theft Auto: San Andreas,PS2,$18 - $25,Black label preferred; Case/Manual $8-13
Grand Theft Auto III,Xbox,$15 - $22,The Xbox Collection variant; Case/Manual $15-22
NFL Street,Xbox,$15 - $25,High gloss manual prone to damage; Case/Manual $12-16
Skyrim,Xbox 360,$10 - $15,Massively oversupplied; Map adds minor value
Oblivion,Xbox 360,$10 - $18,GOTY edition carries premium; Case/Manual $8-14
Tony Hawk's American Wasteland,PS2,$12 - $18,Collector's Edition with slipcase is $30+
Tony Hawk's Project 8,Xbox 360,$10 - $15,High supply; Case/Manual ~$8-11
Amped 2,Xbox,$10 - $20,Manual is often missing; Case/Manual $7-12
Amped: Freestyle Snowboarding,Xbox,$8 - $12,NFR variant has zero premium
Dance Dance Revolution Ultramix,Xbox,$6 - $12,Donor shell value; Case/Manual $8-10
FIFA Soccer 13,Xbox 360,$5 - $8,Donor shell asset; CIB is very low value
NHL 10,Xbox 360,$6 - $10,Donor shell asset; Case/Manual $5-8
NHL 07/09/11,Xbox 360,$3 - $7 each,Pure donor shell value for high-value restorations
Tiger Woods PGA Tour 10,Xbox 360,$5 - $9,Standard sports overflow
Rockband 2,Wii,$5 - $10,Low individual value without instruments
Harry Potter and Order of the Phoenix,Wii,$8 - $15,Niche movie tie-in demand
Kinect Disneyland Adventures,Xbox 360,$5 - $8,Oversupplied Kinect title
Call of Duty 4: Modern Warfare,Xbox 360,$8 - $12,High supply; Black label preferred
PocketBike Racer,Xbox,$3 - $6,Burger King promo; Novelty value only
Tom Clancy's Ghost Recon,Xbox,$5 - $9,Ubisoft staple; low resale
NFL Fever 2003,Xbox,$3 - $5,Donor shell candidate
NBA 2K3,Xbox,$5 - $8,Early 2K entry
Madden 08,Xbox 360,$5 - $10,Cult meme status but high supply
