TITLE,SYSTEM,ESTIMATED CASE-ONLY VALUE,ESTIMATED CASE AND MANUAL-VALUE,NOTES
NHL 07,Xbox 360,$2.00,$4.00,High-volume sports title; minimal liquidity.
NHL 09,Xbox 360,$2.00,$4.00,Standard roster update value.
NHL 10,Xbox 360,$2.00,$4.00,Standard roster update value.
NHL 11,Xbox 360,$2.00,$5.00,Slightly higher demand for specific physics engine changes.
Rockband 2,Wii,$3.00,$6.00,Oversaturated market; value is in the peripherals.
FIFA Soccer 13,Wii,$4.00,$8.00,Late-cycle Wii title; spine is inverted in stack.
NBA Live 08,Xbox 360,$2.00,$4.00,Common.
NBA 2K3,Xbox,$3.00,$7.00,Early Xbox sports era.
Tiger Woods PGA Tour 10,Xbox 360,$3.00,$6.00,Standard sports value.
Tiger Woods PGA Tour 07,Wii,$2.00,$4.00,Common.
Tiger Woods PGA Tour 2005,Xbox,$3.00,$6.00,Stronger nostalgia/mechanics preference.
Disneyland Adventures (Kinect),Xbox 360,$2.00,$5.00,Requires Kinect; niche market.
Harry Potter and the Order of the Phoenix,Wii,$5.00,$10.00,Movie tie-in; surprisingly stable value.
NFL Fever 2003,Xbox,$2.00,$5.00,MS-exclusive sports title.
Super Smash Bros. Brawl,Wii,$10.00,$18.00,Blue-chip Nintendo asset; consistent demand.
Madden NFL 08,Xbox 360,$3.00,$7.00,Cult status due to meme-culture (Scott The Woz).
Grand Theft Auto: San Andreas,PlayStation 2,$5.00,$12.00,Black label preferred; manual/map is key.
Grand Theft Auto III,Xbox,$4.00,$10.00,Likely part of the 'Double Pack'.
Grand Theft Auto IV,Xbox 360,$5.00,$10.00,Platinum Hits or Standard variants common.
Tony Hawk's Project 8,Xbox 360,$5.00,$10.00,Skateboarding sub-genre remains stable.
Tony Hawk's American Wasteland,PlayStation 2,$6.00,$12.00,High nostalgia factor for PS2 era.
Amped Freestyle Snowboarding,Xbox,$3.00,$6.00,Early OG Xbox technical showcase.
Amped 2,Xbox,$4.00,$8.00,Well-regarded sequel.
Amped 2 (Duplicate),Xbox,$4.00,$8.00,Redundant asset; sell/trade.
Dance Dance Revolution Universe 2,Xbox 360,$3.00,$7.00,Requires pad for utility.
Dance Dance Revolution Ultramix,Xbox,$3.00,$7.00,Early rhythm-game era.
Super Paper Mario,Wii,$10.00,$16.00,Nintendo first-party asset; high shelf stability.
The Legend of Zelda: Twilight Princess,Wii,$8.00,$15.00,Essential title; high volume but high demand.
Halo 3,Xbox 360,$5.00,$10.00,The "peak" Halo asset; millions in circulation.
Left 4 Dead,Xbox 360,$7.00,$15.00,Valve asset; consistent demand for couch co-op.
Fallout New Vegas,Xbox 360,$6.00,$12.00,Deep cult following; value increases for 'Ultimate' edition.
Skate 2,Xbox 360,$10.00,$20.00,Arguably the best in the series; strong demand.
Jet Set Radio Future,Xbox,$15.00,$35.00,High-value outlier; original art is iconic.
Blitz: The League II,Xbox 360,$30.00,$65.00,SCARCITY WARNING: High value due to low print run.
Call of Duty 4: Modern Warfare,Xbox 360,$4.00,$8.00,Common; "Modern Warfare" moniker is the sell.
The Elder Scrolls IV: Oblivion,Xbox 360,$5.00,$12.00,Map presence determines top-end value.
Tom Clancy's Ghost Recon Advanced Warfighter,Xbox 360,$2.00,$5.00,High-volume budget title.
Bully: Scholarship Edition,Wii,$6.00,$13.00,Rockstar title; holds value better than sports.
The Elder Scrolls V: Skyrim,Xbox 360,$4.00,$8.00,Oversaturated; "Everyone already owns this."
Pocketbike Racer,Xbox,$2.00,$5.00,Burger King promotional game; meme value only.
The Orange Box,Xbox 360,$15.00,$35.00,Valve masterpiece; includes Portal/HL2/TF2.
Starcraft II: Wings of Liberty,PC,$2.00,$5.00,Loose disc on floor; value is negligible due to DRM.
SSX 3,Xbox,$6.00,$14.00,Manual/Case visible on floor; highly regarded snowboarding sim.
